x1,x2,x3,x4,x5,x6,x7,x8
"[0.5, 0.0]",\hat{\gamma},0.1494(0.1565),0.0561(0.1058),0.4505(2.1108),0.0876(0.2114),1.5474(4.5424),0.4314(1.5234)
0.0,\hat{\alpha},0.0397(0.0249),0.0209(0.0083),0.70(4.8468),0.0369(0.0211),8.2040(19.431),4.0210(14.1244)
"[0.5, 1.0]",\hat{\gamma},0.1506(0.1541),0.0598(0.0622),0.2485(0.6406),0.0803(0.1654),2.0608(5.7779),0.8821(3.2766)
0.0,\hat{\alpha},0.0404(0.0381),0.0208(0.0079),0.340(2.4455),0.2757(3.4765),9.5010(20.1489),5.1179(16.2734)
"[0.0, 0.5]",\hat{\gamma},0.1244(0.1264),0.0929(0.3887),0.2124(0.3474),0.1413(0.6689),1.4449(4.6564),0.4430(2.5887)
0.0,\hat{\alpha},0.0375(0.0264),0.0202(0.0076),0.6104(5.6377),0.5704(4.9320),8.4448(19.5212),2.2237(10.0776)
"[1.0, 0.5]",\hat{\gamma},0.1536(0.1496),0.0589(0.0625),0.2169(0.3222),0.0606(0.0576),1.9659(5.6219),0.7035(3.1277)
0.0,\hat{\alpha},0.040(0.030),0.0202(0.0074),0.4286(3.9090),0.0336(0.0172),6.7286(16.9728),4.5203(14.2692)
"[0.5, 0.5]",\hat{\gamma},0.1359(0.1706),0.0727(0.2459),0.2431(0.8762),0.0681(0.0714),1.5101(4.1239),0.5896(2.2515)
0.0,\hat{\alpha},0.0374(0.0205),0.0208(0.0074),0.8013(4.8880),0.0319(0.0160),8.4541(19.7992),3.9181(13.4845)
